match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
174,home,Ivica Ivušić,G,90,0,0,0,0,31,0,26,6,0,0,0,3,0,0,0,0,0,lost,0-3,6.6
174,home,Josip Juranović,D,90,0,0,0,0,45,1,37,0,1,0,0,0,5,2,2,1,0,lost,0-3,6
174,home,Duje Ćaleta-Car,D,90,0,0,0,0,82,0,70,0,1,0,2,0,8,5,0,0,1,lost,0-3,6.7
174,home,Marin Pongračić,D,90,1,0,0,0,83,0,76,0,0,0,2,0,9,5,1,1,0,lost,0-3,6.5
174,home,Borna Sosa,D,45,0,0,0,0,38,1,34,0,0,0,2,0,3,1,0,0,0,lost,0-3,6.2
174,home,Marcelo Brozović,M,90,1,0,0,0,119,1,107,0,2,0,1,0,9,4,2,1,0,lost,0-3,7
174,home,Mateo Kovačić,M,71,1,1,0,0,58,0,49,0,0,0,0,0,7,6,3,3,0,lost,0-3,6.9
174,home,Lovro Majer,M,58,2,1,0,0,38,4,31,0,1,0,0,0,6,2,3,1,0,lost,0-3,7.3
174,home,Mario Pašalić,M,58,1,0,0,0,16,0,12,0,0,0,0,0,6,0,1,0,0,lost,0-3,6
174,home,Josip Brekalo,M,90,0,0,0,0,56,3,48,0,0,0,0,0,4,3,1,1,0,lost,0-3,6.9
174,home,Andrej Kramarić,F,58,2,1,0,0,18,1,14,0,0,0,0,0,5,3,1,1,0,lost,0-3,6.9
174,home,Borna Barišić,D,45,0,0,0,0,41,0,38,0,2,0,0,0,6,4,1,1,0,lost,0-3,6.7
174,home,Nikola Vlašić,M,32,0,0,0,0,10,0,8,0,0,1,1,0,6,1,1,0,0,lost,0-3,6.5
174,home,Mislav Oršić,F,19,0,0,0,0,12,0,10,0,0,0,0,0,3,0,1,0,0,lost,0-3,6.2
174,home,Luka Modrić,M,32,0,0,0,0,37,0,32,0,0,0,0,0,1,1,0,0,0,lost,0-3,6.9
174,home,Ante Budimir,F,32,1,0,0,0,6,0,4,0,1,0,0,0,7,5,0,0,0,lost,0-3,6.9
174,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-3,0
174,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-3,0
174,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-3,0
174,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,0-3,0
